gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CIAPIN1,139.7341924679781,2.082545481373394,0.4401394776226655,4.731558033880283,2.2280309919720643e-6,3.4152532205514645e-5
TMEM43,202.23369563918178,1.392231339869465,0.29425658695518814,4.731351485706879,2.2302995980103326e-6,3.416290462048661e-5
PAFAH1B3,238.6749392888457,2.116400081728564,0.4473920155958638,4.730527161755031,2.239375608179846e-6,3.425561280076358e-5
UBE2B,377.57495005350984,1.5328719007290903,0.3240492398255084,4.730367216891173,2.241140744281084e-6,3.425561280076358e-5
ZBTB9,208.57865670636937,2.2664094775380024,0.479149577196821,4.730066737817502,2.244460415652473e-6,3.4281936313097556e-5
TTC9C,119.20770891518318,1.6165895738038865,0.34186410446082127,4.728749092723635,2.2590734991892807e-6,3.4480595513941655e-5
TRIM32,305.26318357355586,1.3295717503621862,0.2811835286990271,4.728483764727669,2.262027097239679e-6,3.450113824219155e-5
MFSD2A,93.9663046809284,2.717712073927797,0.574915985259317,4.727146476370748,2.2769701551589883e-6,3.4679758360334915e-5
RPP25L,42.74656724327356,2.7185822638670314,0.5754283225588801,4.724449870277033,2.307391225190473e-6,3.506842471146428e-5
MECR,127.93348134329254,1.942554846436055,0.4115226032940371,4.720408626128562,2.35371323863585e-6,3.574712392153244e-5
VDAC1,2438.158839019345,1.7942751486518913,0.38041807315878884,4.71658755261859,2.3983318665706734e-6,3.629633417250116e-5
TMEM183A,688.4564854126655,1.6736787969808635,0.3551331334941613,4.712820739967312,2.4431110490819476e-6,3.68959627820539e-5
BAHD1,343.56655007780324,1.8048690012244284,0.3831293443774746,4.710860777727842,2.4667270889817714e-6,3.7200255326457354e-5
LPCAT3,259.13697187471365,1.6135365829746273,0.3426354492647708,4.709193361156774,2.48699055633924e-6,3.7453205150203576e-5
TMEM9B,131.19556225094078,1.613039832847362,0.34290250429849006,4.704077143289807,2.5501681712919587e-6,3.83239558514884e-5
ABHD16A,269.23954392215956,1.5703680700142084,0.33393187295780397,4.702660024946591,2.5679381141695493e-6,3.85639971519094e-5
