source,term_id,term_name,p_value,intersection_size
GO:BP,GO:0048285,organelle fission,0.031867527522994495,47
GO:BP,GO:1902101,positive regulation of metaphase/anaphase transition of cell cycle,0.03188365005921306,7
GO:BP,GO:0045786,negative regulation of cell cycle,0.03213862128267215,41
GO:BP,GO:0015780,nucleotide-sugar transmembrane transport,0.03229090989477169,7
GO:BP,GO:0072329,monocarboxylic acid catabolic process,0.03294535990244438,24
GO:BP,GO:0072665,protein localization to vacuole,0.03344665843092586,16
GO:BP,GO:0006260,DNA replication,0.03389838937212496,46
GO:BP,GO:0000423,mitophagy,0.034081127819075116,17
KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,0.03583251496439294,4
GO:BP,GO:0016125,sterol metabolic process,0.03596629348678219,30
GO:BP,GO:2001234,negative regulation of apoptotic signaling pathway,0.0365714612716873,28
GO:BP,GO:0016050,vesicle organization,0.03720114350036197,46
GO:BP,GO:0140694,membraneless organelle assembly,0.03779598422207212,61
GO:BP,GO:0007006,mitochondrial membrane organization,0.03811478768530689,11
GO:BP,GO:0006006,glucose metabolic process,0.040011126533574345,20
GO:BP,GO:0016051,carbohydrate biosynthetic process,0.04007756875215493,18
GO:BP,GO:0090068,positive regulation of cell cycle process,0.04046184248300427,30
GO:BP,GO:0016072,rRNA metabolic process,0.04118938130738496,38
GO:BP,GO:0019318,hexose metabolic process,0.04204171617588563,23
GO:BP,GO:0000959,mitochondrial RNA metabolic process,0.04305410200232785,15
